has_know_more_link,phase2_ready,state,state_id,district,district_id,extraction_date,udise_code,operational_status,school_name,know_more_link,edu_district,edu_block,academic_year,school_category,school_management,class_range,school_type,school_location,address,pin_code,last_modified
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:13.436295,N/A,N/A,NIMO IMPROVED F.P. SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3448529/11,Purba Bardhaman,Memari-i,2024-25,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,"NIMO,MEMARI,PURBA BARDHAMAN.",713146,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:13.471195,N/A,N/A,NIMO MALPARA SSK,https://kys.udiseplus.gov.in/#/schooldetail/3448530/11,Purba Bardhaman,Memari-i,2024-25,1-Primary,12-SSKs & MSks,1 To 4,3-Co-educational,1-Rural,"NIMO,MEMARI,PURBA BARDHAMAN.",713146,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:14.789137,N/A,N/A,NINGRA F.P. SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3497084/11,Purba Bardhaman,Purbasthali-i,2024-25,1-Primary,1-Department of Education,1 To 4,3-Co-educational,1-Rural,"NINGRA , SAMUDRAGARH,PURBA BARDHAMAN",713519,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:18.805047,N/A,N/A,NINGRA JR. HIGH SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3497085/11,Purba Bardhaman,Purbasthali-i,2024-25,4-Upper Primary only,1-Department of Education,5 To 8,3-Co-educational,1-Rural,"NINGRA , SAMUDRAGARH,PURBA BARDHAMAN",713519,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:18.841470,N/A,N/A,NIRALGACHI F.P. SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3448142/11,Purba Bardhaman,Kalna-i,2024-25,1-Primary,1-Department of Education,1 To 4,3-Co-educational,1-Rural,"niralgachi, dhatrigram, purba bardhaman",713405,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:18.874539,N/A,N/A,NIROLE F.P. SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3400641/11,Purba Bardhaman,Ketugram-ii,2024-25,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,"NIROLE, PURBA BARDHAMAN",713140,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:18.906712,N/A,N/A,NIROLE HIGH SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3472695/11,Purba Bardhaman,Ketugram-ii,2024-25,5-Up. Pr. Secondary and Higher Sec,15-Govt. Sponsered,5 To 12,3-Co-educational,1-Rural,"VILL POST NIROLE, DIST PURBA BARDHAMAN",713140,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:18.939924,N/A,N/A,NIROLE KANAKLATA JR. GIRLS' HIGH SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3448411/11,Purba Bardhaman,Ketugram-ii,2024-25,4-Upper Primary only,1-Department of Education,5 To 8,2-Girls,1-Rural,"NIROLE, KETUGRAM, PURBA BARDHAMAN, 713140",713140,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:18.975319,N/A,N/A,NIROLE PASCHIMPARA F.P. SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3472696/11,Purba Bardhaman,Ketugram-ii,2024-25,1-Primary,1-Department of Education,1 To 4,3-Co-educational,1-Rural,"NIROLE, PURBA BARDHAMAN",713140,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:19.015000,N/A,N/A,NIROLE PURBAPARA F.P. SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3496677/11,Purba Bardhaman,Ketugram-ii,2024-25,1-Primary,1-Department of Education,1 To 4,3-Co-educational,1-Rural,"NIROLE, PURBA BARDHAMAN.",713140,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:19.049461,N/A,N/A,NIROLE SSK,https://kys.udiseplus.gov.in/#/schooldetail/3472697/11,Purba Bardhaman,Ketugram-ii,2024-25,1-Primary,12-SSKs & MSks,1 To 4,3-Co-educational,1-Rural,"NIROLE, PURBA BARDHAMAN",713140,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:19.086156,N/A,N/A,NISCHINTAPUR F.P. SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3424167/11,Purba Bardhaman,Khandoghosh,2024-25,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,VILL. NISCHINTAPUR P.O. NISCHINTAPUR P.S. KHANDAGHOSH DIST. PURBA BARDHAMAN PIN 713142,713142,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:19.119564,N/A,N/A,NISCHINTAPUR F.P. SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3496500/11,Purba Bardhaman,Kalna-i,2024-25,1-Primary,1-Department of Education,1 To 4,3-Co-educational,1-Rural,"nischintapur, Kalna, Purba Bardhaman",713409,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:19.153088,N/A,N/A,NISCHINTAPUR HIGH MADRASAH,https://kys.udiseplus.gov.in/#/schooldetail/3424168/11,Purba Bardhaman,Khandoghosh,2024-25,5-Up. Pr. Secondary and Higher Sec,97-Madarsa Aided (Recognized),5 To 12,3-Co-educational,1-Rural,"NISCHINTAPUR, PURBA BARDHAMAN",713142,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:19.187060,N/A,N/A,NISHANKA IMP. FREE PRIMARY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3472778/11,Purba Bardhaman,Memari-i,2024-25,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,"NISHANKA,AMADPUR,MEMARI,PURBA BARDHAMAN.",713154,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:19.225805,N/A,N/A,NISHIRAGARH F.P. SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3496795/11,Purba Bardhaman,Memari-i,2024-25,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,NISHIRAGARH,713146,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:19.260959,N/A,N/A,NITYA NANDAPUR F.P. SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3447925/11,Purba Bardhaman,Burdwan-i,2024-25,1-Primary,1-Department of Education,1 To 4,3-Co-educational,1-Rural,"NITYANANDAPUR, MALAMBA,713426",713426,N/A
