has_know_more_link,phase2_ready,state,state_id,district,district_id,extraction_date,udise_code,operational_status,school_name,know_more_link,edu_district,edu_block,academic_year,school_category,school_management,class_range,school_type,school_location,address,pin_code,email,detail_school_name,extraction_timestamp,location,class_from,class_to,year_of_establishment,national_management,state_management,affiliation_board_sec,affiliation_board_hsec,total_students,total_boys,total_girls,enrollment_class_range,total_teachers,male_teachers,female_teachers,extraction_status,fields_extracted,critical_fields_extracted
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:47.163654,,,UTTAR DHALKAR ADIBASI PRIMARY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3446566/11,Alipurduar,Alipurduar-ii,N/A,1-Primary,1-Department of Education,1 To 4,3-Co-educational,1-Rural,"UTTAR DHALKAR,ALIPURDUAR",736208,,School_ID_3446566,2025-08-26T22:51:17.775569,1-Rural,1,4,1979,1-Department of Education,1-Department of Education,NA,NA,104,58,46,N/A,5,4,1,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:47.205431,,,UTTAR HALDIBARI B.F.P.,https://kys.udiseplus.gov.in/#/schooldetail/3446819/11,Alipurduar,Kumargram,N/A,1-Primary,1-Department of Education,1 To 4,3-Co-educational,1-Rural,"UTTAR HALDIBARI, ALIPURDUAR",736203,,School_ID_3446819,2025-08-26T22:51:29.750890,1-Rural,1,4,1950,1-Department of Education,1-Department of Education,NA,NA,122,56,66,N/A,4,4,0,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:47.237793,,,UTTAR HALDI BARI JALDHAPARA SSK,https://kys.udiseplus.gov.in/#/schooldetail/3446818/11,Alipurduar,Kumargram,N/A,1-Primary,12-SSKs & MSks,1 To 4,3-Co-educational,1-Rural,"UTTAR HALDIBARI JALDAPARA SSK, ALIPURDUAR",736203,,School_ID_3446818,2025-08-26T22:51:44.883799,1-Rural,1,4,2000,6-Other State Govt. Managed,12-SSKs & MSks,NA,NA,48,20,28,N/A,3,0,3,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:47.270827,,,UTTAR HALDIBARI JUNIOR HIGH SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3446821/11,Alipurduar,Kumargram,N/A,4-Upper Primary only,1-Department of Education,5 To 8,3-Co-educational,1-Rural,Vill UTTAR HALDIBARI PO KUMARGRAMDUAR KUMARGRAMDUAR,736203,,School_ID_3446821,2025-08-26T22:51:56.882713,1-Rural,5,8,2008,1-Department of Education,1-Department of Education,NA,NA,210,94,116,N/A,1,1,0,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:47.527443,,,UTTAR HALDIBARI NEW PRY,https://kys.udiseplus.gov.in/#/schooldetail/3446820/11,Alipurduar,Kumargram,N/A,1-Primary,1-Department of Education,1 To 4,3-Co-educational,1-Rural,"UTTAR HALDIBARI, ALIPURDUAR",736203,,School_ID_3446820,2025-08-26T22:52:08.625664,1-Rural,1,4,1973,1-Department of Education,1-Department of Education,NA,NA,5,3,2,N/A,3,1,2,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:47.559715,,,UTTAR JASODANGA NEW PRIMARY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3494961/11,Alipurduar,Alipurduar-ii,N/A,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,"JASODANGA,ALIPURDUAR",736208,,School_ID_3494961,2025-08-26T22:52:20.863543,1-Rural,1,5,1970,1-Department of Education,1-Department of Education,NA,NA,87,48,39,N/A,4,1,3,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:47.590171,,,UTTAR JITPUR B.F.P SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3446481/11,Alipurduar,Alipurduar-i,N/A,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,"UTTAR JITPUR , P.O.ALIPURDUAR JN.",736123,,School_ID_3446481,2025-08-26T22:52:32.742752,1-Rural,1,5,1949,1-Department of Education,1-Department of Education,NA,NA,136,68,68,N/A,6,5,1,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:47.622130,,,UTTAR KAMSING GRAM SPL CADRE,https://kys.udiseplus.gov.in/#/schooldetail/3494906/11,Alipurduar,Alipurduar-i,N/A,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,UTTAR KAMSING,736204,,School_ID_3494906,2025-08-26T22:52:44.623888,1-Rural,1,5,1951,1-Department of Education,1-Department of Education,NA,NA,59,35,24,N/A,4,4,0,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:47.653128,,,UTTAR KAMSING GRAM SSK,https://kys.udiseplus.gov.in/#/schooldetail/3494907/11,Alipurduar,Alipurduar-i,N/A,1-Primary,12-SSKs & MSks,1 To 4,3-Co-educational,1-Rural,"UTTAR KAMSINGGRAM,ALIPURDUAR",736204,,School_ID_3494907,2025-08-26T22:52:56.619402,1-Rural,1,4,2000,6-Other State Govt. Managed,12-SSKs & MSks,NA,NA,15,11,4,N/A,1,0,1,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:47.684149,,,UTTAR KAMSING JR HIGH SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3494909/11,Alipurduar,Alipurduar-i,N/A,4-Upper Primary only,1-Department of Education,5 To 8,3-Co-educational,1-Rural,uttar kamsing,736204,,School_ID_3494909,2025-08-26T22:53:08.108495,1-Rural,5,8,2015,1-Department of Education,1-Department of Education,NA,NA,44,21,23,N/A,2,1,1,SUCCESS,9,2
